venue,city,latitude,longitude,formatted_address,place_id,geocode_status
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,17.4065262,78.5504704,"RGI Stadium Rd, Uppal, Hyderabad, Telangana 500039, India",ChIJG1MF6jiZyzsRu9VjjIV6i8w,ok
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,17.4065262,78.5504704,"RGI Stadium Rd, Uppal, Hyderabad, Telangana 500039, India",ChIJG1MF6jiZyzsRu9VjjIV6i8w,ok
"Sardar Patel Stadium, Motera",Ahmedabad,23.0918239,72.5973886,"Stadium Road, Motera, Sabarmati, Ahmedabad, Gujarat 380005, India",ChIJ437DfcGDXjkRLZMfOmpvl6s,ok
Saurashtra Cricket Association Stadium,Rajkot,22.3038945,70.80215989999999,"Rajkot, Gujarat, India",ChIJD98cx4rJWTkRO62Tvs8V3XY,ok
Sawai Mansingh Stadium,Jaipur,26.8939864,75.8033493,"VRV3+H8X, Janpath, Jaipur Nagar Nigam, Lalkothi, Jaipur, Rajasthan 302015, India",ChIJ3z5U5iG0bTkR-xj-dLmFlIM,ok
"Sawai Mansingh Stadium, Jaipur",Jaipur,26.8939864,75.8033493,"VRV3+H8X, Janpath, Jaipur Nagar Nigam, Lalkothi, Jaipur, Rajasthan 302015, India",ChIJ3z5U5iG0bTkR-xj-dLmFlIM,ok
Shaheed Veer Narayan Singh International Stadium,Raipur,21.2034612,81.82396779999999,"Sector 3, Parsada-3, Atal Nagar-Nava Raipur, Chhattisgarh 492101, India",ChIJZTCEvd_AKDoR8xQSxJpXyH8,ok
Sharjah Cricket Stadium,,25.330906,55.4209362,8CJC+635 - Second Industrial St - Industrial Area 5 - Industrial Area - Sharjah - United Arab Emirates,ChIJ3xpvZ0ZZXz4RGsjIYC8CH4o,ok
Sharjah Cricket Stadium,Sharjah,25.330906,55.4209362,8CJC+635 - Second Industrial St - Industrial Area 5 - Industrial Area - Sharjah - United Arab Emirates,ChIJ3xpvZ0ZZXz4RGsjIYC8CH4o,ok
Sheikh Zayed Stadium,Abu Dhabi,24.3966996,54.5407903,Abu Dhabi Cricket & Sports Hub - A - Khalifa City - SW17 01 - Abu Dhabi - United Arab Emirates,ChIJX5pnz8NGXj4RMw3Db21QzBw,ok
St George's Park,Port Elizabeth,-33.9670282,25.6106284,"8 Park Dr, Gqeberha Central, Gqeberha, 6001, South Africa",ChIJ32Lut2DSeh4RbZs1RvbjXTo,ok
Subrata Roy Sahara Stadium,Pune,18.6744633,73.7065161,"MPF4+QJJ, Mumbai - Pune Hwy, Gahunje, Maharashtra 412101, India",ChIJU6xq9YuwwjsR3fSJWA_Lk-0,ok
SuperSport Park,Centurion,-25.8599709,28.19552,"283 West Ave, Die Hoewes, Centurion, 0046, South Africa",ChIJ2ccyny1klR4Rh4Z_f_VTUxo,ok
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,21.0145383,79.0395771,"Wardha Rd, Jamtha, Maharashtra 441108, India",ChIJ3Svozue91DsRtoEDhWNVGkA,ok
Wankhede Stadium,Mumbai,18.9388528,72.82576399999999,"Netaji Subhash Chandra Bose Rd, Churchgate, Mumbai, Maharashtra 400020, India",ChIJgWqi8ODR5zsRFjnfBH7k1oc,ok
"Wankhede Stadium, Mumbai",Mumbai,18.9388528,72.82576399999999,"Netaji Subhash Chandra Bose Rd, Churchgate, Mumbai, Maharashtra 400020, India",ChIJgWqi8ODR5zsRFjnfBH7k1oc,ok
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,24.3966996,54.5407903,Abu Dhabi Cricket & Sports Hub - A - Khalifa City - SW17 01 - Abu Dhabi - United Arab Emirates,ChIJX5pnz8NGXj4RMw3Db21QzBw,ok
