venue,city,query_used,attempt,latitude,longitude,photon_name,photon_city,photon_country,photon_state,osm_value
"Sawai Mansingh Stadium, Jaipur",Jaipur,"Sawai Mansingh Stadium, Jaipur",1,26.8939911,75.8032269,Sawai Mansingh Stadium,Jaipur Municipal Corporation,India,Rajasthan,stadium
Shaheed Veer Narayan Singh International Stadium,Raipur,"Shaheed Veer Narayan Singh International Stadium, Raipur",2,21.242992,81.6443787,Shaheed Veer Narayan Singh Smarak,Raipur,India,Chhattisgarh,monument
Sharjah Cricket Stadium,Sharjah,Sharjah Cricket Stadium,1,25.3308493,55.4208718,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,Sharjah,stadium
Sharjah Cricket Stadium,,Sharjah Cricket Stadium,1,25.3308493,55.4208718,Sharjah Cricket Stadium,Sharjah,United Arab Emirates,Sharjah,stadium
Sheikh Zayed Stadium,Abu Dhabi,Sheikh Zayed Stadium,1,24.3965743,54.5407478,Sheikh Zayed Cricket Stadium,Zayed City,United Arab Emirates,Abu Dhabi,pitch
St George's Park,Port Elizabeth,St George's Park,1,-33.9665463,25.610165,St George's Park Cricket Ground,Gqeberha,South Africa,Eastern Cape,stadium
Subrata Roy Sahara Stadium,Pune,Subrata Roy Sahara Stadium,1,19.5680747,5.7685441,Municipal Stadium,In Guezzam,Algeria,In Guezzam,stadium
SuperSport Park,Centurion,SuperSport Park,1,-25.8596237,28.1956445,Supersport Park,Irene,South Africa,Gauteng,stadium
"Vidarbha Cricket Association Stadium, Jamtha",Nagpur,"Vidarbha Cricket Association Stadium, Jamtha",1,21.0135768,79.039632,Vidarbha Cricket Association Stadium,Gumgaon,India,Maharashtra,stadium
Wankhede Stadium,Mumbai,Wankhede Stadium,1,18.9385497,72.8257408,Wankhede Stadium,,India,Maharashtra,stadium
"Wankhede Stadium, Mumbai",Mumbai,"Wankhede Stadium, Mumbai",1,18.9385497,72.8257408,Wankhede Stadium,,India,Maharashtra,stadium
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,"Zayed Cricket Stadium, Abu Dhabi",1,24.3965743,54.5407478,Sheikh Zayed Cricket Stadium,Zayed City,United Arab Emirates,Abu Dhabi,pitch
